josephquinn,844,,2.5M,,0,1.1M
saythename_17,845,Music,9.6M,Indonesia,240.1K,269.6K
ludmilla,846,Music,27.4M,Brazil,64.7K,95.8K
nidhhiagerwal,847,LifestyleModelingCinema & Actors/actresses,24.3M,India,87.3K,105.7K
anirudhofficial,848,LifestyleMusic,6M,India,342.5K,433.6K
kto_takaya,849,Family,7M,Russia,303.5K,374.4K
you_r_love,850,,5.5M,Indonesia,364.2K,465.3K
dudewithsign,851,,8.1M,United States,204.3K,322.4K
saythename_17,852,Music,9.6M,Indonesia,240.1K,269.6K
ludmilla,853,Music,27.4M,Brazil,64.7K,95.8K
nidhhiagerwal,854,LifestyleModelingCinema & Actors/actresses,24.3M,India,87.3K,105.7K
anirudhofficial,855,LifestyleMusic,6M,India,342.5K,433.6K
kto_takaya,856,Family,7M,Russia,303.5K,374.4K
you_r_love,857,,5.5M,Indonesia,364.2K,465.3K
kikakim,858,Lifestyle,6.9M,Kazakhstan,279.9K,370.6K
chelseafc,859,Sports with a ball,34.8M,Indonesia,48.9K,72.7K
luara,860,Music,15.9M,Brazil,95.9K,158.3K
filiperet,861,Lifestyle,6.8M,Brazil,147.9K,379.4K
subo_m,862,Shows,9.8M,Russia,213.8K,262.4K
rogerfederer,863,Sports with a ball,9.6M,Spain,205.3K,265.4K
belindapop,864,Music,15.5M,Mexico,113.6K,162.8K
miketyson,865,Fitness & Gym,19M,United States,102K,131.2K
sonu_sood,866,Cinema & Actors/actresses,14.4M,India,151.5K,172.8K
sinavaliollah,867,Shows,7.3M,Iran,277.1K,350.1K
jamorant,868,LifestyleSports with a ball,7.3M,United States,212K,342.5K
priyankaamohanofficial,869,LifestyleCinema & Actors/actresses,3.2M,India,677K,777K
massafera,870,Cinema & Actors/actressesLifestyle,25.3M,Brazil,67.2K,97.8K
vinijr,135,Sports with a ball,21.3M,Brazil,806.7K,1.4M
emrata,136,Modeling,29.5M,United States,606.1K,967.7K
lanarhoades,137,LifestyleModeling,16.8M,United States,1M,1.7M
britneyspears,138,Music,41.6M,United States,494.6K,685.6K
maluma,139,Music,62.7M,Italy,294.2K,452.1K
beingsalmankhan,140,Cinema & Actors/actressesArt/Artists,53M,India,417.3K,534.9K
luisitocomunica,141,Humor & Fun & HappinessClothing & Outfits,32.3M,Mexico,643.5K,852.1K
natgeo,142,Nature & landscapesSciencePhotography,232.2M,United States,91.4K,117.8K
madisonbeer,143,Music,31.8M,United States,571.3K,852.4K
jacquelinef143,144,Cinema & Actors/actresses,62.2M,India,347.8K,424.3K
garethbale11,145,Sports with a ball,47.8M,Spain,342.3K,538.6K
norafatehi,146,Cinema & Actors/actressesMusicShows,41.2M,India,507K,625.7K
sabrinacarpenter,147,Music,27.4M,Brazil,756.6K,928.8K
marcelotwelve,148,Sports with a ball,57.2M,Spain,300.9K,446.2K
rohittt_09_,149,ShowsLifestyle,23.6M,India,753.1K,1.1M
jasonstatham,150,Cinema & Actors/actresses,30.7M,Iran,549.9K,811.9K
thedeverakonda,151,Cinema & Actors/actresses,16M,India,1.3M,1.6M
theestallion,152,Music,29.1M,United States,486.6K,850.2K
theweeknd,153,Music,40.3M,United States,446.6K,607K
shahidkapoor,154,Cinema & Actors/actresses,35.3M,India,608.7K,688.5K
elrubiuswtf,155,Computers & Gadgets,17M,Mexico,1.3M,1.4M
annehathaway,156,Cinema & Actors/actresses,24.4M,United States,737.6K,972.3K
sydney_sweeney,157,LifestyleCinema & Actors/actresses,13.6M,United States,923.9K,1.7M
erling.haaland,158,LifestyleSports with a ball,17.1M,Brazil,909.8K,1.4M
lewishamilton,159,Racing Sports,29M,Brazil,553.7K,793.7K
hegdepooja,160,Cinema & Actors/actresses,20.7M,India,961.1K,1.1M
luissuarez9,161,Sports with a ball,44.1M,Brazil,347.4K,520.8K
championsleague,162,Sports with a ball,95.7M,Brazil,175.8K,237.7K
433,163,Sports with a ball,50.8M,Spain,266.7K,441.3K
eminem,164,Cinema & Actors/actressesMusic,36.2M,Iran,481.3K,621.4K
rohitsharma45,165,Sports with a ballLifestyle,24.4M,India,810.3K,914.3K
zkdlin,166,Music,14.1M,Indonesia,1.3M,1.6M
sidhu_moosewala,167,,10.8M,India,1.7M,2.1M
jichangwook,168,Cinema & Actors/actresses,20.6M,Indonesia,836.5K,1.1M
jamesrodriguez10,169,Sports with a ball,49.8M,Colombia,286.1K,436.9K
na.jaemin0813,170,,9.8M,Indonesia,1.8M,2.3M
greeicy,171,ShowsCinema & Actors/actresses,21.2M,Colombia,753.5K,1M
emmachamberlain,172,LifestyleShows,15.9M,United States,873.5K,1.3M
evaluna,173,FamilyMusic,20.7M,Argentina,744.1K,1M
henrycavill,174,Cinema & Actors/actresses,21.3M,Brazil,826.5K,1M
carlinhosmaiaof,175,Lifestyle,25.8M,Brazil,457.4K,837K
domelipa,176,Lifestyle,18.9M,Mexico,915.5K,1.1M
saraalikhan95,177,Cinema & Actors/actresses,40.7M,India,424.3K,518.3K
m10_official,178,Sports with a ball,24.5M,Turkey,617.1K,866.6K
cznburak,179,Food & Cooking,37M,Turkey,418.5K,566.2K
imhyoseop,180,Lifestyle,8.5M,Indonesia,2.1M,2.5M
feliciathegoat,185,Music,13M,United States,911.4K,1.5M
haileesteinfeld,186,Cinema & Actors/actresses,19.1M,United States,796.2K,1M
lukamodric10,187,Sports with a ball,24.3M,Spain,537.8K,787.4K
renebaebae,188,LifestyleModeling,10.7M,Indonesia,1.5M,1.8M
do0_nct,189,Lifestyle,10.3M,Indonesia,1.4M,1.8M
paulpogba,190,Sports with a ball,54.7M,Brazil,190.8K,339.5K
heybiblee,191,Modeling,14.4M,Indonesia,926.6K,1.3M
sergioramos,192,Sports with a ball,52.3M,Spain,222.1K,343K
nattinatasha,193,MusicCinema & Actors/actresses,35.9M,Mexico,417.9K,502.2K
thinkaboutzu,194,,6.6M,United States,0,2.8M
awez_darbar,195,ShowsHumor & Fun & Happiness,21.4M,India,694.6K,831.4K
lucyhale,687,Cinema & Actors/actresses,24.5M,United States,106.3K,139.1K
stebinben,688,MusicShows,10.6M,India,260.2K,318.9K
juki_lop,689,ShowsFamily,9.4M,Mexico,314.5K,365.5K
alfinetei,690,Humor & Fun & Happiness,21.7M,Brazil,71.1K,160.9K
centralcee,691,LifestyleMusicSports with a ball,3.7M,United Kingdom,382.2K,936K
syifahadjureal,692,Modeling,15.4M,Indonesia,177.6K,219.3K
d_degeaofficial,693,Sports with a ball,13.5M,United Kingdom,176.1K,248.8K
elmarianaa,694,Humor & Fun & Happiness,3.8M,Mexico,607.3K,887.8K
calumhood,695,Music,7M,United States,305.9K,490.9K
coolio_daryl,696,,5.9M,,0,581.3K
willyrex,697,Shows,8.7M,Spain,330.3K,392.1K
liltjay,698,LifestyleMusic,7.4M,United States,251.6K,464.5K
floydmayweather,699,Fitness & Gym,28.4M,United States,66.9K,118.1K
georgenotfound,700,,3M,United States,1M,1.1M
onwardwanna,701,LifestyleCinema & Actors/actresses,5.6M,United States,364.7K,608.3K
milad_khahhh,702,Lifestyle,6.5M,Iran,379.9K,541K
angela_aguilar_,703,Lifestyle,8.7M,Mexico,316.9K,383.6K
kaliuchis,704,Music,3.9M,United States,491.7K,848.7K
vancityreynolds,181,Cinema & Actors/actresses,44.5M,United States,362.3K,467.9K
stephencurry30,182,Sports with a ballFamily,44.7M,United States,344.3K,462.1K
strangerthingstv,183,Cinema & Actors/actressesShows,20.5M,Brazil,727.5K,974K
justintimberlake,184,MusicArt/ArtistsCinema & Actors/actresses,65.5M,United States,226.5K,299.5K
joaoguilherme,705,MusicCinema & Actors/actressesLifestyle,16.1M,Brazil,105.8K,205.5K
harshbeniwal,706,Humor & Fun & HappinessShowsCinema & Actors/actresses,5.6M,India,461.7K,601K
salmahayek,707,Cinema & Actors/actresses,21.5M,United States,123.9K,152.5K
rezagolzar,708,Cinema & Actors/actresses,12.2M,Iran,190.9K,280.7K
acunilicali,709,Cinema & Actors/actresses,13.7M,Turkey,198.6K,245.4K
lacikaysomers,710,MusicModelingArt/Artists,12.2M,United States,158.6K,272.3K
karna.val,711,Lifestyle,7.3M,Russia,385.1K,449.2K
arsenal,712,Sports with a ball,22.2M,United Kingdom,97.3K,146K
anas,713,FamilyShows,5.7M,,0,577.7K
saipallavi.senthamarai,714,,5.9M,India,481.1K,551.9K
nct_dream,715,,10.2M,Indonesia,280.8K,312.5K
violets.tv,716,Adult content,13.9M,Italy,171.7K,236K
tohi,717,Lifestyle,12M,Iran,188.4K,275.2K
rodridepaul,718,Sports with a ball,4.8M,Argentina,372.7K,675.7K
maneskinofficial,719,Lifestyle,6.1M,Italy,374.4K,528.4K
wanda_nara,720,Lifestyle,13.6M,Argentina,165.2K,233.3K
perspolis,721,Sports with a ball,8.1M,Iran,281.2K,400.1K
grisha_eric,722,,12.4M,Turkey,174.8K,252.1K
miamalkova,723,Cinema & Actors/actresses,11M,India,211.9K,287.6K
nba,724,Sports with a ball,69M,United States,29.9K,45.3K
gima_ashi,725,Lifestyle,14.6M,India,157.3K,214.4K
burcuozberk,726,Cinema & Actors/actresses,9.3M,Turkey,263.7K,341.7K
soyneiva,741,Adult content,11.9M,Brazil,188.4K,252.2K
tamannaahspeaks,742,MusicCinema & Actors/actresses,17.2M,India,148.1K,172.8K
dava_m,743,Business & Careers,13.6M,Russia,170.9K,220.9K
nodal,744,Music,9.4M,Mexico,220.7K,324.8K
vanessabryant,745,Sports with a ballLifestyleKids & Toys,15.6M,United States,144.6K,189.3K
littlemix,746,Music,16M,Brazil,137.9K,186.4K
issavegas,747,Fitness & Gym,9.1M,Mexico,281.7K,330.8K
iqbaal.e,748,Cinema & Actors/actresses,13.5M,Indonesia,127.7K,220K
fadiljaidi,749,Lifestyle,7.7M,Indonesia,259.5K,389.5K
briandadeyanara,750,,13M,Mexico,192.5K,226.6K
avrillavigne,751,MusicCinema & Actors/actressesFashion,11.4M,Brazil,207.3K,257.7K
rafaelnadal,752,Sports with a ball,15.6M,Spain,151.1K,188.8K
dearra,753,Lifestyle,6.3M,United States,192.2K,478.5K
courteneycoxofficial,754,Cinema & Actors/actresses,12.2M,India,180.9K,239.4K
superm,755,ShowsMusic,5.2M,Indonesia,502.2K,570.4K
tamerhosny,756,MusicCinema & Actors/actresses,22.7M,Egypt,105K,129.1K
valentinazenere,757,ModelingLifestyle,10M,Brazil,238.5K,290.3K
maddieziegler,758,Cinema & Actors/actressesModeling,13.9M,United States,139.1K,208.1K
canelo,759,Fitness & Gym,13.4M,Mexico,154.5K,215.7K
vernonline,760,,4.1M,,0,719.4K
veradijkmans,761,Adult content,5.4M,United States,391.8K,550.7K
willevy,762,ShowsCinema & Actors/actressesModeling,10.6M,Brazil,204.3K,275.5K
natalee.007,763,ModelingMusic,7M,United States,328K,419.6K
indiaroyale,764,Lifestyle,4.3M,United States,232.1K,687.7K
sebastianyatra,765,MusicArt/Artists,29.7M,Argentina,70.6K,97.6K
yefersoncossio,766,Lifestyle,9.5M,Colombia,213.2K,313K
nabilla,767,Beauty,7.7M,France,275K,378.6K
andresiniesta8,768,Sports with a ball,39.7M,Spain,49.4K,72.2K
spacex,769,ScienceMachinery & Technologies,15M,United States,157.9K,191.7K
letthelordbewithyou,770,LifestyleFamily,27.3M,United States,68.8K,105.1K
soueunavida,771,Humor & Fun & Happiness,18.1M,Brazil,84.2K,159.8K
tiagopzk,772,Music,5.1M,Argentina,249.9K,570.3K
la_beaute_africaine,773,Photography,1.6M,Senegal,919.9K,1.9M
alvaromorata,774,Sports with a ballLiterature & Journalism,17.4M,Italy,105.7K,164.1K
ansufati,775,Sports with a ball,8.7M,Spain,217.8K,330.3K
joelocke03,776,Cinema & Actors/actressesMusic,3.1M,United States,0,918.6K
dagelan,777,Humor & Fun & Happiness,20.9M,Indonesia,80.8K,137.6K
bumkeyk,778,Music,9.2M,Indonesia,259.1K,310.4K
tombrady,779,Sports with a ball,12.5M,United States,123K,227.9K
streetartglobe,780,Art/Artists,17M,United States,123K,166.8K
nobru,781,Machinery & TechnologiesComputers & Gadgets,13.5M,Brazil,145.3K,211.9K
philfoden,782,Sports with a ball,5M,United Kingdom,326.2K,571.5K
brycehall,783,Music,7.3M,United States,304.6K,390.7K
kaka,784,Sports with a ball,18.7M,Brazil,91K,148.4K
adidasfootball,785,Sports with a ball,31.5M,Brazil,64.8K,88.1K
asala,786,Shows,6.9M,United Arab Emirates,0,408.6K
theamitbhadana,787,Shows,8.4M,India,277.6K,342.8K
yg_treasure_official,788,Music,5.4M,Indonesia,408.9K,522.6K
brfootball,789,Sports with a ball,12.4M,United States,137.9K,222.5K
jenna_chew,790,Fitness & Gym,6.7M,United States,344.9K,421.4K
cocielo,791,Cinema & Actors/actresses,18.7M,Brazil,94.5K,147.7K
hyeri_0609,792,Music,7.3M,South Korea,320.1K,385.7K
netflix,793,Cinema & Actors/actressesShows,30.4M,Brazil,55.8K,90.5K
sagar_pop02,794,Lifestyle,7.5M,India,237.7K,373.9K
skaijackson,795,LifestyleBeauty,8M,United States,198.4K,350.5K
dejesusoficial,796,Sports with a ball,17.5M,Brazil,101.6K,156.8K
kawtarbamo,797,Cinema & Actors/actresses,7.4M,Morocco,277K,375.3K
roddyricch,798,Lifestyle,6.9M,United States,210.5K,404.2K
barackobama,799,Finance & EconomicsBusiness & CareersFamily,35.4M,United States,66.7K,77.5K
dhanushkraja,800,Cinema & Actors/actresses,4.4M,India,489.7K,634.4K
bowerjamie,801,Cinema & Actors/actresses,3.8M,Italy,547.2K,730K
galatasaray,802,Sports with a ball,11.5M,Turkey,195.7K,236.4K
tomhardy,803,LifestyleCinema & Actors/actressesModeling,8.7M,Iran,252.6K,313.5K
pooorblack,804,,4.6M,Iran,472.8K,611.6K
tejasswiprakash,805,Beauty,6.1M,India,396.1K,491.8K
larray,806,LifestyleModelingFashion,6.8M,United States,277.6K,406.4K
princessyahrini,807,Music,39.6M,Indonesia,51.4K,68K
celestinegonzaga,808,Music,7.6M,Philippines,323.2K,360.6K
nicolebahls,809,Modeling,18.3M,Brazil,83.8K,148.8K
noahbeck,810,Sports with a ball,9.2M,United States,180.6K,298.3K
jordialbaoficial,811,Sports with a ball,14.5M,Spain,128.6K,185.5K
teyanataylor,812,Music,15.2M,United States,104.2K,177.1K
residente,813,Music,8.8M,Colombia,202.8K,314.7K
sivakarthikeyan,814,,5.1M,India,456K,537.1K
wolfiecindy,815,ModelingLifestyle,7.1M,United States,230.5K,383.3K
canelo,816,Fitness & Gym,13.4M,Mexico,143.1K,198.8K
juliopfernandez,817,,3.5M,Brazil,618.1K,786.3K
urassayas,818,Cinema & Actors/actressesModelingFashion,11.8M,Thailand,185.5K,226.5K
loud_babi,819,Lifestyle,9.1M,Brazil,186.4K,300.5K
aurelie.hermansyah,820,Beauty,26.6M,Indonesia,80.2K,100.8K
watanabenaomi703,821,Cinema & Actors/actressesHumor & Fun & HappinessModeling,9.9M,Japan,257.2K,273.9K
sandrinna_11,822,Lifestyle,10.7M,Indonesia,193.9K,247.6K
irinashayk,823,Modeling,18.8M,Russia,102.1K,140.8K
everyone_woo,727,,2.9M,Indonesia,835K,1.1M
egupta,728,LifestyleModeling,8.7M,India,286.4K,359.1K
jennifer.garner,729,Cinema & Actors/actresses,13.3M,United States,202.7K,229.3K
normani,730,Lifestyle,7.3M,United States,271.1K,423.6K
03_hu,731,Lifestyle,4.2M,South Korea,600.1K,736.1K
mrancelotti,732,Sports with a ball,8.4M,Italy,234.7K,366K
jorgelopez_as,733,Cinema & Actors/actresses,9.6M,Brazil,194K,318.5K
huddy,734,LifestyleArt/Artists,11.7M,United States,186.1K,256.9K
kenzie,735,Art/Artists,14.9M,United States,132.3K,201.4K
f1,736,Racing Sports,19.9M,Italy,119.9K,150.8K
staskaranikolaou,737,Lifestyle,11.1M,United States,184.6K,271.4K
saharghoreyshiofficialpage,738,Lifestyle,11.6M,Iran,179.7K,262K
beberexha,739,MusicLifestyle,10.8M,India,188.5K,279.2K
dqsalmaan,740,Cinema & Actors/actresses,10.6M,India,208.6K,282.5K
pledis_boos,824,Music,4.1M,Indonesia,540.2K,654.9K
jessicajane99,825,Lifestyle,6M,Indonesia,340.9K,449.4K
soydannyalfaro,826,Beauty,8.1M,Mexico,289.9K,331.6K
wdohwan,827,Cinema & Actors/actresses,4.5M,Indonesia,452.2K,599.2K
albafloresoficial,828,Cinema & Actors/actresses,11.7M,Spain,167.3K,225.4K
borodylia,829,ShowsFamily,18.4M,Russia,116.7K,143.4K
markruffalo,830,Cinema & Actors/actresses,20.9M,Brazil,100K,127.3K
adinross,831,,3M,United States,509K,1M
anwar,832,Shows,10.3M,United States,173.7K,256K
iampauloandre,833,Lifestyle,10M,Brazil,76.9K,270.3K
mirandacosgrove,834,MusicCinema & Actors/actressesLifestyle,9.9M,Brazil,172.6K,269.2K
nikitadragun,835,BeautyModelingAdult content,9M,United States,193.5K,295.7K
alexis_officia1,836,Sports with a ball,14.1M,Chile,113K,186.3K
sophiedee,837,Adult content,12.3M,United States,160.8K,214.2K
arsenal,838,Sports with a ball,22.2M,United Kingdom,78.2K,117.7K
marcoasensio10,839,Sports with a ball,14.5M,Spain,116.5K,178.9K
elliotpage,840,,6.1M,United States,299.7K,431.5K
theellenshow,841,ShowsCinema & Actors/actresses,123.7M,United States,20.6K,21.1K
dudewithsign,842,,8.1M,United States,204.9K,323.2K
jamorant,843,LifestyleSports with a ball,7.4M,United States,218.9K,353.7K
